page,rows,elapsed_ms
1,1000,11.446
2,1000,3.809
3,1000,2.690
4,1000,2.455
5,1000,2.445
6,1000,2.758
7,1000,2.316
8,1000,2.382
9,1000,2.326
10,1000,2.452
11,1000,2.392
12,1000,2.280
13,1000,2.442
14,1000,2.392
15,1000,2.535
16,1000,2.422
17,1000,2.870
18,1000,2.408
19,1000,3.067
20,1000,2.382
21,1000,2.420
22,1000,2.331
23,1000,2.465
24,1000,2.371
25,1000,2.336
26,1000,2.272
27,1000,2.581
28,1000,2.590
29,1000,2.404
30,1000,2.426
31,1000,2.454
32,1000,3.363
33,1000,2.876
34,1000,2.508
35,1000,2.356
36,1000,2.597
37,1000,2.310
38,1000,2.445
39,1000,2.506
40,1000,2.336
41,1000,2.515
42,1000,2.563
43,1000,2.707
44,1000,2.361
45,1000,2.357
46,1000,2.403
47,1000,3.074
48,1000,2.273
49,1000,2.573
50,1000,2.954
51,1000,2.457
52,1000,2.274
53,1000,2.457
54,1000,2.451
55,1000,2.444
56,1000,2.449
57,1000,2.290
58,1000,2.381
59,1000,2.769
60,1000,2.497
61,1000,2.550
62,1000,2.674
63,1000,2.289
64,1000,2.526
65,1000,3.334
66,1000,2.458
67,1000,2.223
68,1000,2.399
69,1000,2.478
70,1000,2.725
71,1000,2.608
72,1000,2.638
73,1000,2.354
74,1000,2.313
75,1000,2.584
76,1000,2.382
77,1000,2.338
78,1000,2.535
79,1000,2.570
80,1000,2.265
81,1000,2.488
82,1000,3.771
83,1000,2.361
84,1000,2.399
85,1000,2.514
86,1000,2.495
87,1000,2.598
88,1000,2.238
89,1000,2.250
90,1000,2.482
91,1000,2.430
92,1000,2.510
93,1000,2.383
94,1000,2.174
95,1000,2.484
96,1000,2.430
97,1000,2.463
98,1000,2.513
99,1000,3.273
100,1000,2.251
101,1000,2.310
102,1000,2.251
103,1000,2.430
104,1000,2.262
105,1000,2.357
106,1000,2.527
107,1000,2.417
108,1000,3.125
109,1000,2.901
110,1000,2.527
111,1000,2.585
112,1000,2.442
113,1000,2.409
114,1000,2.401
115,1000,2.373
116,1000,2.912
117,1000,2.308
118,1000,3.137
119,1000,3.952
120,1000,3.993
121,1000,3.539
122,1000,2.323
123,1000,2.463
124,1000,2.389
125,1000,2.835
126,1000,2.231
127,1000,2.278
128,1000,2.309
129,1000,2.564
130,1000,2.428
131,1000,2.342
132,1000,3.022
133,1000,3.435
134,1000,3.287
135,1000,3.320
136,1000,3.180
137,1000,2.297
138,1000,2.474
139,1000,2.378
140,1000,2.467
141,1000,2.502
142,1000,2.460
143,1000,2.419
144,1000,2.520
145,1000,2.276
146,1000,2.232
147,1000,2.238
148,1000,2.530
149,1000,2.353
150,1000,2.424
151,1000,2.384
152,1000,2.928
153,1000,2.324
154,1000,2.460
155,1000,2.444
156,1000,2.438
157,1000,2.345
158,1000,2.387
159,1000,2.455
160,1000,2.366
161,1000,2.388
162,1000,3.588
163,1000,2.790
164,1000,2.659
165,1000,3.265
166,1000,2.382
167,1000,2.403
168,1000,3.449
169,1000,3.954
170,1000,2.381
171,1000,2.731
172,1000,2.443
173,1000,2.378
174,1000,2.549
175,1000,2.293
176,1000,2.599
177,1000,2.456
178,1000,2.527
179,1000,2.270
180,1000,2.275
181,1000,2.249
182,1000,2.608
183,1000,2.377
184,1000,2.242
185,1000,2.248
186,1000,2.479
187,1000,3.194
188,1000,3.910
189,1000,2.346
190,1000,2.380
191,1000,3.503
192,1000,2.278
193,1000,3.917
194,1000,2.285
195,1000,2.889
196,1000,2.767
197,1000,2.284
198,1000,2.245
199,1000,2.357
200,1000,2.460
201,1000,3.772
202,1000,2.208
203,1000,3.890
204,1000,2.167
205,1000,3.387
206,1000,3.142
207,1000,3.164
208,1000,3.431
209,1000,2.386
210,1000,2.447
211,1000,3.467
212,1000,2.335
213,1000,2.489
214,1000,2.226
215,1000,2.367
216,1000,2.496
217,1000,3.347
218,1000,3.796
219,1000,3.254
220,1000,3.359
221,1000,2.628
222,1000,3.446
223,1000,2.873
224,1000,3.116
225,1000,3.142
226,1000,3.511
227,1000,2.417
228,1000,2.776
229,1000,2.244
230,1000,2.499
231,1000,3.035
232,1000,2.445
233,1000,2.404
234,1000,2.500
235,1000,2.492
236,1000,2.493
237,1000,2.648
