page,rows,elapsed_ms
1,1000,16.522
2,1000,9.109
3,1000,4.045
4,1000,3.468
5,1000,3.618
6,1000,3.684
7,1000,3.841
8,1000,4.074
9,1000,4.371
10,1000,4.863
11,1000,5.097
12,1000,4.905
13,1000,5.178
14,1000,5.467
15,1000,5.823
16,1000,5.904
17,1000,7.228
18,1000,6.078
19,1000,6.125
20,1000,6.472
21,1000,6.672
22,1000,6.822
23,1000,7.183
24,1000,7.594
25,1000,7.591
26,1000,7.773
27,1000,8.278
28,1000,9.640
29,1000,9.231
30,1000,9.352
31,1000,9.405
32,1000,9.439
33,1000,9.748
34,1000,9.765
35,1000,10.325
36,1000,10.408
37,1000,10.695
38,1000,11.323
39,1000,11.066
40,1000,10.965
41,1000,11.235
42,1000,11.597
43,1000,11.612
44,1000,12.139
45,1000,12.355
46,1000,12.306
47,1000,12.525
48,1000,12.858
49,1000,14.079
50,1000,13.512
51,1000,13.712
52,1000,13.531
53,1000,14.070
54,1000,14.116
55,1000,14.324
56,1000,14.756
57,1000,15.360
58,1000,14.799
59,1000,17.886
60,1000,19.445
61,1000,16.092
62,1000,16.417
63,1000,16.284
64,1000,16.515
65,1000,19.944
66,1000,19.862
67,1000,20.619
68,1000,17.390
69,1000,20.820
70,1000,18.069
71,1000,21.196
72,1000,18.747
73,1000,18.705
74,1000,21.966
75,1000,18.954
76,1000,22.282
77,1000,25.110
78,1000,20.401
79,1000,22.898
80,1000,23.407
81,1000,21.177
82,1000,23.616
83,1000,24.199
84,1000,21.499
85,1000,23.555
86,1000,25.748
87,1000,25.269
88,1000,24.659
89,1000,24.667
90,1000,24.863
91,1000,22.679
92,1000,26.401
93,1000,24.161
94,1000,27.388
95,1000,26.675
96,1000,24.143
97,1000,27.280
98,1000,24.451
99,1000,27.170
100,1000,28.697
101,1000,26.813
102,1000,25.550
103,1000,25.397
104,1000,26.495
105,1000,25.076
106,1000,25.476
107,1000,25.878
108,1000,26.382
109,1000,26.177
110,1000,27.241
111,1000,29.721
112,1000,29.673
113,1000,31.104
114,1000,31.168
115,1000,31.275
116,1000,32.564
117,1000,31.856
118,1000,33.046
119,1000,34.191
120,1000,32.751
121,1000,32.705
122,1000,32.830
123,1000,33.195
124,1000,34.946
125,1000,33.046
126,1000,35.580
127,1000,34.118
128,1000,31.502
129,1000,31.427
130,1000,32.242
131,1000,31.989
132,1000,31.853
133,1000,31.562
134,1000,32.195
135,1000,32.616
136,1000,33.132
137,1000,32.735
138,1000,33.751
139,1000,33.633
140,1000,34.214
141,1000,33.985
142,1000,34.127
143,1000,34.676
144,1000,37.660
145,1000,38.346
146,1000,38.243
147,1000,37.922
148,1000,38.903
149,1000,38.803
150,1000,39.223
151,1000,41.472
152,1000,42.669
153,1000,39.945
154,1000,41.069
155,1000,41.568
156,1000,41.755
157,1000,41.171
158,1000,42.232
159,1000,44.776
160,1000,43.047
161,1000,43.014
162,1000,44.174
163,1000,39.644
164,1000,42.967
165,1000,43.912
166,1000,41.703
167,1000,44.036
168,1000,43.952
169,1000,45.985
170,1000,50.017
171,1000,45.340
172,1000,47.802
173,1000,46.292
174,1000,47.039
175,1000,47.933
176,1000,45.440
177,1000,47.763
178,1000,47.937
179,1000,45.719
180,1000,47.017
181,1000,48.171
182,1000,49.307
183,1000,50.373
184,1000,49.360
185,1000,50.735
186,1000,51.000
187,1000,50.768
188,1000,52.207
189,1000,49.941
190,1000,48.274
191,1000,51.669
192,1000,51.935
193,1000,52.185
194,1000,52.985
195,1000,50.092
196,1000,51.589
197,1000,52.209
198,1000,48.239
199,1000,47.163
200,1000,49.235
201,1000,47.094
202,1000,48.036
203,1000,49.109
204,1000,52.008
205,1000,51.077
206,1000,48.645
207,1000,52.336
208,1000,49.727
209,1000,49.370
210,1000,49.971
211,1000,51.099
212,1000,50.242
213,1000,50.958
214,1000,50.688
215,1000,50.661
216,1000,50.915
217,1000,53.536
218,1000,56.777
219,1000,56.216
220,1000,55.039
221,1000,58.798
222,1000,56.457
223,1000,56.975
224,1000,56.955
225,1000,56.644
226,1000,54.097
227,1000,53.213
228,1000,53.756
229,1000,53.781
230,1000,60.004
231,1000,61.070
232,1000,61.305
233,1000,58.696
234,1000,62.299
235,1000,63.333
236,1000,61.676
237,1000,62.602
238,1000,62.179
239,1000,63.263
240,1000,66.160
241,1000,63.825
242,1000,61.608
243,1000,58.643
244,1000,63.319
245,1000,65.943
246,1000,62.470
247,1000,64.131
248,1000,65.092
249,1000,65.196
250,1000,66.735
251,1000,65.974
