slice,from_id,to_id,rows,elapsed_ms
1,1,50000,37520,357.080
2,50001,100000,37563,401.669
3,100001,150000,37311,356.981
4,150001,200000,37494,381.315
5,200001,250000,37441,376.235
6,250001,300000,37486,375.243
7,300001,350000,37458,375.501
8,350001,400000,37430,386.897
9,400001,450000,37547,378.620
10,450001,500000,37330,374.095
11,500001,550000,37408,360.102
12,550001,600000,37555,370.224
13,600001,650000,37486,360.719
14,650001,700000,37430,358.912
15,700001,750000,37622,369.792
16,750001,800000,37663,378.182
17,800001,850000,37565,370.178
18,850001,900000,37374,368.244
19,900001,950000,37475,357.424
20,950001,1000000,37561,356.507
